Timestamp,Submission Pin,Question 1,Question 2,Question 3,Question 4,Question 5,Question 6,Question 7,Question 8,Question 9,Question 10
3/25/2025 13:25:50,82535682,10,82,,,,,,,,
3/25/2025 13:26:20,82535682,,,,,,,,50000,,
3/25/2025 13:26:42,45552596,,82,,,2,,,,,
3/25/2025 13:26:53,1111,,82,,,,,,,,
3/25/2025 17:37:59,45552596,465369,82,6452,27,2,1,7573,,,
3/25/2025 17:52:54,87518336,465369,82,6452,27,2,1,7573,49757,84712,95388
3/25/2025 17:59:36,45552596,465369,82,6452,27,2,1,7573,84193,47285,94268
3/25/2025 18:12:37,14713532,465369,82,6452,12,2,1,7573,68710,68000,67559
3/25/2025 18:14:53,95132649,465369,93933,1381491049,27,2,1,7572.81759,51054.59,88113.21,101700.79
3/25/2025 18:25:05,423657877,465369,602,6452.05814,3,2,1,7572.81759,45673,50000,40000
3/25/2025 18:25:15,67551478,465369,82,6452,50,1,1,7572,62605,81866,65013
3/25/2025 18:29:33,82535682,465369,602,5987,3,2,1,7573,56512,98251,83270
